revenue_code|revenue_description|grant_type|approved_budget_2026|revised_budget_2027|budget_estimate_2028|council_name|source_document|source_url|date_extracted
001|Constituency Development Fund|National Support|40032550|42594633|45704041|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
002|Roads Grant|National Support|6351370|6757570|7250873|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
003|Health Grant|National Support|2704308|2877384|3087433|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
004|Local Government Equalisation Fund|National Support|9722195|10445526|11322950|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
005|Grants in lieu of Rates|National Support|500000|532000|570836|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
099|Other Grants|National Support|12964826|13755202|14759331|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
001|Devolution Capital Grant|Donor Support|2694737|2867200|3076506|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
SubItem Total|National Support SubItem Total|National Support|72275249|76962316|82695465|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
SubItem Total|Donor Support SubItem Total|Donor Support|2694737|2867200|3076506|Chisamba Town Council|Chisamba 2026 Budget Revenue|https://www.chisambacouncil.gov.zm/|2026-09-14
