economic_code|economic_classification|budget_2024|budget_2025|budget_2026|council_name|source_document|source_url|date_extracted
21|Personal Emoluments|13868405|18052534|20254458|Chisamba Town Council|Chisamba Town Council Budget Economic Classification|https://www.chisambacouncil.gov.zm/|2026-09-14
22|Goods and Services|10951981|19073539|22765905|Chisamba Town Council|Chisamba Town Council Budget Economic Classification|https://www.chisambacouncil.gov.zm/|2026-09-14
25|Social Assistance Benefits|0|26027526|10904013|Chisamba Town Council|Chisamba Town Council Budget Economic Classification|https://www.chisambacouncil.gov.zm/|2026-09-14
26|Grants and Other Payments (Transfers)|8149081|8719516|9657347|Chisamba Town Council|Chisamba Town Council Budget Economic Classification|https://www.chisambacouncil.gov.zm/|2026-09-14
31|Non-Financial Assets|18446866|26691946|28106813|Chisamba Town Council|Chisamba Town Council Budget Economic Classification|https://www.chisambacouncil.gov.zm/|2026-09-14
32|Financial Assets|3492463|3736936|0|Chisamba Town Council|Chisamba Town Council Budget Economic Classification|https://www.chisambacouncil.gov.zm/|2026-09-14
41|Current Liabilities (Payable within one year)|243116|801500|1405991|Chisamba Town Council|Chisamba Town Council Budget Economic Classification|https://www.chisambacouncil.gov.zm/|2026-09-14
Head Total|Head Total|55151912|103103497|93094528|Chisamba Town Council|Chisamba Town Council Budget Economic Classification|https://www.chisambacouncil.gov.zm/|2026-09-14
