0,1,2,3,4
No,ECONOMIC CLASSIFICATION,"2024
APPROVED
BUDGET (K)","2025
APPROVED
BUDGET (K)","2026 BUDGET
ESTIMATE (K)"
"21
22
25
26
31
32
41","Personal Emoluments
Goods and Services
Social Assistance Benefits
Grants and Other Payments(Transfers)
Non-Financial Assets
Financial Assets
Current Liabilities (Payable within one year)","13,868,405
10,951,981
(0)
8,149,081
18,446,866
3,492,463
243,116","18,052,534
19,073,539
26,027,526
8,719,516
26,691,946
3,736,936
801,500","20,254,458
22,765,905
10,904,013
9,657,347
28,106,813
(0)
1,405,991"
,Head Total,"55,151,912","103,103,497","93,094,528"
